v1	V(n005)	I(I1)	I(I2)	I(Ib)
3.838999999999974e+00	2.611711e+00	8.799840e-10	9.734126e-08	9.819191e-08
3.839999999999974e+00	2.611721e+00	9.076725e-10	9.731360e-08	9.819193e-08
3.840999999999974e+00	2.611732e+00	9.362253e-10	9.728507e-08	9.819196e-08
3.841999999999973e+00	2.611742e+00	9.656683e-10	9.725565e-08	9.819198e-08
3.842999999999973e+00	2.611753e+00	9.960283e-10	9.722532e-08	9.819201e-08
3.843999999999973e+00	2.611765e+00	1.027333e-09	9.719405e-08	9.819204e-08
3.844999999999973e+00	2.611776e+00	1.059610e-09	9.716180e-08	9.819207e-08
3.845999999999973e+00	2.611788e+00	1.092889e-09	9.712855e-08	9.819210e-08
3.846999999999973e+00	2.611801e+00	1.127199e-09	9.709427e-08	9.819213e-08
3.847999999999973e+00	2.611814e+00	1.162572e-09	9.705893e-08	9.819216e-08
3.848999999999973e+00	2.611827e+00	1.199038e-09	9.702249e-08	9.819220e-08
3.849999999999973e+00	2.611840e+00	1.236630e-09	9.698493e-08	9.819223e-08
3.850999999999972e+00	2.611855e+00	1.275381e-09	9.694622e-08	9.819227e-08
3.851999999999972e+00	2.611869e+00	1.315325e-09	9.690631e-08	9.819230e-08
3.852999999999972e+00	2.611884e+00	1.356496e-09	9.686518e-08	9.819234e-08
3.853999999999972e+00	2.611900e+00	1.398931e-09	9.682278e-08	9.819237e-08
3.854999999999972e+00	2.611916e+00	1.442667e-09	9.677908e-08	9.819242e-08
3.855999999999972e+00	2.611932e+00	1.487740e-09	9.673406e-08	9.819245e-08
3.856999999999972e+00	2.611949e+00	1.534190e-09	9.668764e-08	9.819249e-08
3.857999999999972e+00	2.611966e+00	1.582057e-09	9.663982e-08	9.819254e-08
3.858999999999972e+00	2.611984e+00	1.631379e-09	9.659054e-08	9.819259e-08
3.859999999999971e+00	2.612003e+00	1.682200e-09	9.653976e-08	9.819263e-08
3.860999999999971e+00	2.612022e+00	1.734562e-09	9.648745e-08	9.819268e-08
3.861999999999971e+00	2.612042e+00	1.788508e-09	9.643356e-08	9.819273e-08
3.862999999999971e+00	2.612062e+00	1.844083e-09	9.637803e-08	9.819278e-08
3.863999999999971e+00	2.612083e+00	1.901333e-09	9.632083e-08	9.819283e-08
3.864999999999971e+00	2.612104e+00	1.960304e-09	9.626191e-08	9.819288e-08
3.865999999999971e+00	2.612127e+00	2.021044e-09	9.620123e-08	9.819293e-08
3.866999999999971e+00	2.612149e+00	2.083603e-09	9.613873e-08	9.819299e-08
3.867999999999971e+00	2.612173e+00	2.148030e-09	9.607436e-08	9.819305e-08
3.868999999999970e+00	2.612197e+00	2.214376e-09	9.600807e-08	9.819311e-08
3.869999999999970e+00	2.612222e+00	2.282693e-09	9.593982e-08	9.819317e-08
3.870999999999970e+00	2.612248e+00	2.353036e-09	9.586955e-08	9.819323e-08
3.871999999999970e+00	2.612275e+00	2.425457e-09	9.579718e-08	9.819330e-08
3.872999999999970e+00	2.612302e+00	2.500014e-09	9.572270e-08	9.819337e-08
3.873999999999970e+00	2.612330e+00	2.576763e-09	9.564602e-08	9.819344e-08
3.874999999999970e+00	2.612359e+00	2.655761e-09	9.556710e-08	9.819351e-08
3.875999999999970e+00	2.612389e+00	2.737068e-09	9.548586e-08	9.819358e-08
3.876999999999970e+00	2.612420e+00	2.820744e-09	9.540226e-08	9.819366e-08
3.877999999999969e+00	2.612452e+00	2.906851e-09	9.531623e-08	9.819374e-08
3.878999999999969e+00	2.612484e+00	2.995450e-09	9.522771e-08	9.819382e-08
3.879999999999969e+00	2.612518e+00	3.086605e-09	9.513664e-08	9.819390e-08
3.880999999999969e+00	2.612553e+00	3.180382e-09	9.504295e-08	9.819399e-08
3.881999999999969e+00	2.612588e+00	3.276846e-09	9.494657e-08	9.819407e-08
3.882999999999969e+00	2.612625e+00	3.376065e-09	9.484744e-08	9.819416e-08
3.883999999999969e+00	2.612663e+00	3.478105e-09	9.474550e-08	9.819426e-08
3.884999999999969e+00	2.612702e+00	3.583036e-09	9.464067e-08	9.819436e-08
3.885999999999969e+00	2.612742e+00	3.690929e-09	9.453287e-08	9.819446e-08
3.886999999999968e+00	2.612783e+00	3.801854e-09	9.442205e-08	9.819455e-08
3.887999999999968e+00	2.612825e+00	3.915885e-09	9.430812e-08	9.819466e-08
3.888999999999968e+00	2.612869e+00	4.033093e-09	9.419102e-08	9.819477e-08
3.889999999999968e+00	2.612914e+00	4.153554e-09	9.407067e-08	9.819487e-08
3.890999999999968e+00	2.612960e+00	4.277343e-09	9.394699e-08	9.819500e-08
3.891999999999968e+00	2.613007e+00	4.404535e-09	9.381992e-08	9.819511e-08
3.892999999999968e+00	2.613056e+00	4.535207e-09	9.368937e-08	9.819523e-08
3.893999999999968e+00	2.613106e+00	4.669438e-09	9.355526e-08	9.819535e-08
3.894999999999968e+00	2.613158e+00	4.807305e-09	9.341753e-08	9.819548e-08
3.895999999999967e+00	2.613211e+00	4.948887e-09	9.327608e-08	9.819561e-08
3.896999999999967e+00	2.613265e+00	5.094265e-09	9.313083e-08	9.819575e-08
3.897999999999967e+00	2.613321e+00	5.243519e-09	9.298171e-08	9.819588e-08
3.898999999999967e+00	2.613379e+00	5.396731e-09	9.282865e-08	9.819603e-08
3.899999999999967e+00	2.613438e+00	5.553980e-09	9.267154e-08	9.819617e-08
3.900999999999967e+00	2.613499e+00	5.715351e-09	9.251033e-08	9.819632e-08
3.901999999999967e+00	2.613561e+00	5.880924e-09	9.234491e-08	9.819648e-08
3.902999999999967e+00	2.613626e+00	6.050783e-09	9.217521e-08	9.819664e-08
3.903999999999967e+00	2.613692e+00	6.225011e-09	9.200114e-08	9.819680e-08
3.904999999999966e+00	2.613759e+00	6.403690e-09	9.182263e-08	9.819696e-08
3.905999999999966e+00	2.613829e+00	6.586903e-09	9.163959e-08	9.819714e-08
3.906999999999966e+00	2.613900e+00	6.774735e-09	9.145193e-08	9.819731e-08
3.907999999999966e+00	2.613974e+00	6.967267e-09	9.125959e-08	9.819750e-08
3.908999999999966e+00	2.614049e+00	7.164582e-09	9.106245e-08	9.819768e-08
3.909999999999966e+00	2.614126e+00	7.366763e-09	9.086047e-08	9.819787e-08
