time	V(v1)	V(vout)
1.611310720004755e-007	2.064498e+000	2.676159e+000
1.614310720004756e-007	2.058488e+000	2.675599e+000
1.617025005719042e-007	2.053066e+000	2.675091e+000
1.619739291433327e-007	2.047661e+000	2.674581e+000
1.622453577147614e-007	2.042273e+000	2.674070e+000
1.625167862861899e-007	2.036902e+000	2.673557e+000
1.627882148576185e-007	2.031547e+000	2.673042e+000
1.630596434290471e-007	2.026210e+000	2.672526e+000
1.633310720004757e-007	2.020889e+000	2.672008e+000
1.637025005719043e-007	2.013636e+000	2.671296e+000
1.640739291433329e-007	2.006418e+000	2.670583e+000
1.644453577147615e-007	1.999234e+000	2.669868e+000
1.648167862861901e-007	1.992085e+000	2.669150e+000
1.651882148576187e-007	1.984970e+000	2.668430e+000
1.655596434290473e-007	1.977890e+000	2.667707e+000
1.659310720004759e-007	1.970845e+000	2.666983e+000
1.664882148576188e-007	1.960343e+000	2.665892e+000
1.670453577147617e-007	1.949928e+000	2.664798e+000
1.676025005719046e-007	1.939600e+000	2.663699e+000
1.681596434290475e-007	1.929360e+000	2.662597e+000
1.687167862861904e-007	1.919206e+000	2.661491e+000
1.692739291433333e-007	1.909140e+000	2.660381e+000
1.698310720004762e-007	1.899162e+000	2.659268e+000
1.707167862861905e-007	1.883481e+000	2.657490e+000
1.716025005719049e-007	1.868055e+000	2.655705e+000
1.724882148576193e-007	1.852885e+000	2.653912e+000
1.733739291433336e-007	1.837970e+000	2.652112e+000
1.742596434290480e-007	1.823309e+000	2.650303e+000
1.751453577147623e-007	1.808904e+000	2.648487e+000
1.760310720004767e-007	1.794754e+000	2.646664e+000
1.787596434290483e-007	1.752641e+000	2.640990e+000
1.814882148576199e-007	1.713620e+000	2.635268e+000
1.842167862861916e-007	1.677690e+000	2.629497e+000
1.869453577147632e-007	1.644852e+000	2.623677e+000
1.896739291433348e-007	1.615106e+000	2.617808e+000
1.924025005719065e-007	1.588451e+000	2.611891e+000
1.951310720004781e-007	1.564887e+000	2.605924e+000
1.962453577147639e-007	1.556363e+000	2.603483e+000
1.973596434290497e-007	1.548433e+000	2.601038e+000
1.984739291433355e-007	1.541096e+000	2.598588e+000
1.995882148576213e-007	1.534352e+000	2.596135e+000
2.007025005719071e-007	1.528202e+000	2.593677e+000
2.018167862861929e-007	1.522645e+000	2.591216e+000
2.029310720004787e-007	1.517682e+000	2.588751e+000
2.030310720004787e-007	1.517267e+000	2.588529e+000
2.053025005719074e-007	1.509151e+000	2.583490e+000
2.075739291433362e-007	1.503591e+000	2.578448e+000
2.098453577147649e-007	1.500588e+000	2.573404e+000
2.121167862861937e-007	1.500141e+000	2.568358e+000
2.143882148576224e-007	1.502251e+000	2.563310e+000
2.166596434290512e-007	1.506918e+000	2.558259e+000
2.189310720004799e-007	1.514140e+000	2.553207e+000
2.197882148576228e-007	1.517526e+000	2.551304e+000
2.206453577147657e-007	1.521267e+000	2.549403e+000
2.215025005719087e-007	1.525363e+000	2.547504e+000
2.223596434290516e-007	1.529813e+000	2.545606e+000
2.232167862861945e-007	1.534619e+000	2.543710e+000
2.240739291433374e-007	1.539779e+000	2.541815e+000
2.249310720004803e-007	1.545295e+000	2.539922e+000
2.256310720004804e-007	1.550058e+000	2.538378e+000
2.263310720004804e-007	1.555049e+000	2.536835e+000
2.270310720004805e-007	1.560268e+000	2.535294e+000
2.277310720004805e-007	1.565715e+000	2.533755e+000
2.284310720004806e-007	1.571390e+000	2.532218e+000
2.291310720004807e-007	1.577294e+000	2.530683e+000
2.298310720004807e-007	1.583425e+000	2.529149e+000
2.305453577147665e-007	1.589913e+000	2.527586e+000
2.312596434290522e-007	1.596627e+000	2.526026e+000
2.319739291433380e-007	1.603568e+000	2.524468e+000
2.326882148576238e-007	1.610735e+000	2.522913e+000
2.334025005719096e-007	1.618128e+000	2.521360e+000
2.341167862861953e-007	1.625747e+000	2.519811e+000
2.348310720004811e-007	1.633593e+000	2.518263e+000
2.356025005719097e-007	1.642316e+000	2.516596e+000
2.363739291433383e-007	1.651285e+000	2.514933e+000
2.371453577147670e-007	1.660500e+000	2.513274e+000
2.379167862861956e-007	1.669963e+000	2.511620e+000
2.386882148576242e-007	1.679673e+000	2.509970e+000
2.394596434290529e-007	1.689629e+000	2.508324e+000
2.402310720004815e-007	1.699832e+000	2.506684e+000
2.412453577147673e-007	1.713616e+000	2.504533e+000
2.422596434290531e-007	1.727784e+000	2.502395e+000
2.432739291433389e-007	1.742335e+000	2.500267e+000
2.442882148576246e-007	1.757270e+000	2.498152e+000
2.453025005719104e-007	1.772588e+000	2.496047e+000
2.463167862861962e-007	1.788289e+000	2.493955e+000
2.473310720004820e-007	1.804374e+000	2.491873e+000
2.488453577147679e-007	1.829094e+000	2.488788e+000
2.503596434290537e-007	1.854503e+000	2.485744e+000
2.518739291433395e-007	1.880603e+000	2.482740e+000
2.533882148576253e-007	1.907392e+000	2.479778e+000
2.549025005719111e-007	1.934871e+000	2.476857e+000
2.564167862861970e-007	1.963040e+000	2.473976e+000
2.579310720004828e-007	1.991899e+000	2.471137e+000
2.584739291433400e-007	2.002363e+000	2.470134e+000
2.590167862861972e-007	2.012896e+000	2.469137e+000
2.595596434290544e-007	2.023499e+000	2.468148e+000
2.601025005719115e-007	2.034170e+000	2.467167e+000
2.606453577147687e-007	2.044911e+000	2.466192e+000
2.611882148576259e-007	2.055720e+000	2.465224e+000
2.617310720004831e-007	2.066599e+000	2.464264e+000
2.622596434290546e-007	2.077252e+000	2.463336e+000
2.627882148576260e-007	2.087960e+000	2.462417e+000
2.633167862861975e-007	2.098723e+000	2.461505e+000
2.638453577147690e-007	2.109541e+000	2.460600e+000
2.643739291433405e-007	2.120414e+000	2.459704e+000
2.649025005719119e-007	2.131342e+000	2.458816e+000
2.654310720004834e-007	2.142325e+000	2.457935e+000
2.663025005719120e-007	2.160551e+000	2.456500e+000
2.671739291433407e-007	2.178887e+000	2.455091e+000
2.680453577147693e-007	2.197335e+000	2.453707e+000
2.689167862861979e-007	2.215893e+000	2.452350e+000
2.697882148576265e-007	2.234561e+000	2.451018e+000
2.706596434290552e-007	2.253340e+000	2.449711e+000
2.715310720004838e-007	2.272230e+000	2.448430e+000
2.723739291433411e-007	2.290582e+000	2.447219e+000
2.732167862861982e-007	2.308992e+000	2.446037e+000
2.740596434290555e-007	2.327459e+000	2.444885e+000
2.749025005719127e-007	2.345984e+000	2.443763e+000
2.757453577147699e-007	2.364566e+000	2.442670e+000
2.765882148576271e-007	2.383206e+000	2.441608e+000
2.774310720004843e-007	2.401904e+000	2.440575e+000
2.779025005719129e-007	2.412371e+000	2.440012e+000
2.783739291433415e-007	2.422845e+000	2.439461e+000
2.788453577147701e-007	2.433326e+000	2.438921e+000
2.793167862861987e-007	2.443813e+000	2.438393e+000
2.797882148576273e-007	2.454308e+000	2.437875e+000
2.802596434290559e-007	2.464809e+000	2.437370e+000
2.807310720004845e-007	2.475317e+000	2.436876e+000
2.808739291433417e-007	2.478501e+000	2.436729e+000
2.810167862861988e-007	2.481685e+000	2.436583e+000
2.811596434290560e-007	2.484869e+000	2.436438e+000
2.813025005719131e-007	2.488054e+000	2.436295e+000
2.814453577147703e-007	2.491238e+000	2.436153e+000
2.815882148576274e-007	2.494423e+000	2.436012e+000
2.817310720004846e-007	2.497608e+000	2.435872e+000
2.818310720004846e-007	2.499837e+000	2.435775e+000
2.819310720004846e-007	2.500000e+000	2.435678e+000
2.820310720004846e-007	2.500000e+000	2.435582e+000
2.822310720004846e-007	2.500000e+000	2.435391e+000
2.825310720004847e-007	2.500000e+000	2.435111e+000
2.827739291433419e-007	2.500000e+000	2.434887e+000
2.830167862861990e-007	2.500000e+000	2.434667e+000
2.832596434290562e-007	2.500000e+000	2.434451e+000
2.835025005719133e-007	2.500000e+000	2.434239e+000
2.837453577147705e-007	2.500000e+000	2.434030e+000
2.839882148576276e-007	2.500000e+000	2.433824e+000
2.842310720004848e-007	2.500000e+000	2.433623e+000
2.845167862861991e-007	2.500000e+000	2.433390e+000
2.848025005719134e-007	2.500000e+000	2.433162e+000
2.850882148576277e-007	2.500000e+000	2.432939e+000
2.853739291433420e-007	2.500000e+000	2.432721e+000
2.856596434290563e-007	2.500000e+000	2.432508e+000
2.859453577147706e-007	2.500000e+000	2.432301e+000
2.862310720004849e-007	2.500000e+000	2.432098e+000
2.873882148576279e-007	2.500000e+000	2.431332e+000
2.885453577147708e-007	2.500000e+000	2.430652e+000
2.897025005719138e-007	2.500000e+000	2.430058e+000
2.908596434290567e-007	2.500000e+000	2.429551e+000
2.920167862861997e-007	2.500000e+000	2.429131e+000
