Freq.	V(v1)	V(vb)	V(vout)
1.44543977074592e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.27757693653607e-005dB,-5.77791803982726e-002°)
1.47910838816820e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.25802152315368e-005dB,-5.91250295439561e-002°)
1.51356124843620e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.23754449401358e-005dB,-6.05022274820863e-002°)
1.54881661891248e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.21610241262363e-005dB,-6.19115044154581e-002°)
1.58489319246111e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19364979734609e-005dB,-6.33536075551613e-002°)
1.62181009735892e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.17013902515733e-005dB,-6.48293015167317e-002°)
1.65958690743755e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.14552022499277e-005dB,-6.63393687255290e-002°)
1.69824365246174e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.11974117880630e-005dB,-6.78846098315546e-002°)
1.73780082874937e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.09274720507893e-005dB,-6.94658441339306e-002°)
1.77827941003892e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.06448104579887e-005dB,-7.10839100152648e-002°)
1.81970085860998e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.03488274591985e-005dB,-7.27396653861295e-002°)
1.86208713666286e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.00388952375454e-005dB,-7.44339881398929e-002°)
