v1	V(n002)	Ix(U2:SOURCE)	Ix(U3:SOURCE)	Ix(U4:DRAIN)
2.388999999999979e+00	3.362280e+00	4.818689e-08	4.819189e-08	-2.500898e-12
2.389999999999979e+00	3.363174e+00	4.818483e-08	4.818983e-08	-2.499530e-12
2.390999999999979e+00	3.364068e+00	4.818277e-08	4.818776e-08	-2.498162e-12
2.391999999999979e+00	3.364962e+00	4.818071e-08	4.818570e-08	-2.496794e-12
2.392999999999979e+00	3.365855e+00	4.817865e-08	4.818363e-08	-2.495426e-12
2.393999999999979e+00	3.366750e+00	4.817658e-08	4.818157e-08	-2.494057e-12
2.394999999999979e+00	3.367643e+00	4.817452e-08	4.817950e-08	-2.492689e-12
2.395999999999979e+00	3.368537e+00	4.817245e-08	4.817744e-08	-2.491320e-12
2.396999999999978e+00	3.369431e+00	4.817039e-08	4.817537e-08	-2.489952e-12
2.397999999999978e+00	3.370325e+00	4.816832e-08	4.817330e-08	-2.488583e-12
2.398999999999978e+00	3.371218e+00	4.816626e-08	4.817124e-08	-2.487214e-12
2.399999999999978e+00	3.372112e+00	4.816420e-08	4.816917e-08	-2.485845e-12
2.400999999999978e+00	3.373006e+00	4.816213e-08	4.816710e-08	-2.484476e-12
2.401999999999978e+00	3.373899e+00	4.816006e-08	4.816503e-08	-2.483107e-12
2.402999999999978e+00	3.374793e+00	4.815800e-08	4.816296e-08	-2.481738e-12
2.403999999999978e+00	3.375687e+00	4.815593e-08	4.816089e-08	-2.480368e-12
2.404999999999978e+00	3.376580e+00	4.815386e-08	4.815882e-08	-2.478999e-12
2.405999999999977e+00	3.377474e+00	4.815180e-08	4.815675e-08	-2.477629e-12
2.406999999999977e+00	3.378367e+00	4.814973e-08	4.815468e-08	-2.476259e-12
2.407999999999977e+00	3.379261e+00	4.814766e-08	4.815261e-08	-2.474889e-12
2.408999999999977e+00	3.380155e+00	4.814559e-08	4.815054e-08	-2.473519e-12
2.409999999999977e+00	3.381048e+00	4.814353e-08	4.814847e-08	-2.472149e-12
2.410999999999977e+00	3.381942e+00	4.814146e-08	4.814640e-08	-2.470779e-12
2.411999999999977e+00	3.382835e+00	4.813939e-08	4.814433e-08	-2.469408e-12
2.412999999999977e+00	3.383728e+00	4.813732e-08	4.814225e-08	-2.468037e-12
2.413999999999977e+00	3.384622e+00	4.813525e-08	4.814018e-08	-2.466666e-12
2.414999999999976e+00	3.385515e+00	4.813318e-08	4.813811e-08	-2.465295e-12
2.415999999999976e+00	3.386409e+00	4.813111e-08	4.813603e-08	-2.463924e-12
2.416999999999976e+00	3.387302e+00	4.812903e-08	4.813396e-08	-2.462552e-12
2.417999999999976e+00	3.388195e+00	4.812696e-08	4.813188e-08	-2.461180e-12
2.418999999999976e+00	3.389088e+00	4.812489e-08	4.812981e-08	-2.459808e-12
2.419999999999976e+00	3.389982e+00	4.812282e-08	4.812773e-08	-2.458436e-12
2.420999999999976e+00	3.390875e+00	4.812074e-08	4.812566e-08	-2.457063e-12
2.421999999999976e+00	3.391768e+00	4.811867e-08	4.812358e-08	-2.455691e-12
2.422999999999976e+00	3.392661e+00	4.811660e-08	4.812151e-08	-2.454317e-12
2.423999999999976e+00	3.393554e+00	4.811452e-08	4.811943e-08	-2.452944e-12
2.424999999999975e+00	3.394448e+00	4.811245e-08	4.811735e-08	-2.451570e-12
2.425999999999975e+00	3.395341e+00	4.811037e-08	4.811527e-08	-2.450197e-12
2.426999999999975e+00	3.396234e+00	4.810830e-08	4.811320e-08	-2.448822e-12
2.427999999999975e+00	3.397127e+00	4.810622e-08	4.811112e-08	-2.447448e-12
2.428999999999975e+00	3.398020e+00	4.810414e-08	4.810904e-08	-2.446073e-12
2.429999999999975e+00	3.398913e+00	4.810207e-08	4.810696e-08	-2.444697e-12
2.430999999999975e+00	3.399806e+00	4.809999e-08	4.810488e-08	-2.443322e-12
2.431999999999975e+00	3.400699e+00	4.809792e-08	4.810280e-08	-2.441946e-12
2.432999999999975e+00	3.401592e+00	4.809584e-08	4.810072e-08	-2.440569e-12
2.433999999999974e+00	3.402485e+00	4.809376e-08	4.809864e-08	-2.439192e-12
2.434999999999974e+00	3.403378e+00	4.809168e-08	4.809656e-08	-2.437815e-12
2.435999999999974e+00	3.404270e+00	4.808960e-08	4.809447e-08	-2.436437e-12
2.436999999999974e+00	3.405163e+00	4.808752e-08	4.809239e-08	-2.435059e-12
2.437999999999974e+00	3.406056e+00	4.808544e-08	4.809031e-08	-2.433680e-12
2.438999999999974e+00	3.406949e+00	4.808336e-08	4.808823e-08	-2.432301e-12
2.439999999999974e+00	3.407842e+00	4.808128e-08	4.808615e-08	-2.430922e-12
2.440999999999974e+00	3.408734e+00	4.807920e-08	4.808406e-08	-2.429541e-12
2.441999999999974e+00	3.409627e+00	4.807712e-08	4.808198e-08	-2.428161e-12
2.442999999999973e+00	3.410520e+00	4.807504e-08	4.807989e-08	-2.426779e-12
2.443999999999973e+00	3.411412e+00	4.807296e-08	4.807781e-08	-2.425397e-12
2.444999999999973e+00	3.412305e+00	4.807088e-08	4.807572e-08	-2.424015e-12
2.445999999999973e+00	3.413198e+00	4.806879e-08	4.807364e-08	-2.422632e-12
2.446999999999973e+00	3.414090e+00	4.806671e-08	4.807155e-08	-2.421248e-12
2.447999999999973e+00	3.414983e+00	4.806463e-08	4.806947e-08	-2.419863e-12
2.448999999999973e+00	3.415875e+00	4.806254e-08	4.806738e-08	-2.418478e-12
2.449999999999973e+00	3.416768e+00	4.806046e-08	4.806529e-08	-2.417092e-12
2.450999999999973e+00	3.417660e+00	4.805838e-08	4.806321e-08	-2.415705e-12
2.451999999999972e+00	3.418553e+00	4.805629e-08	4.806112e-08	-2.414317e-12
2.452999999999972e+00	3.419446e+00	4.805420e-08	4.805903e-08	-2.412929e-12
2.453999999999972e+00	3.420338e+00	4.805212e-08	4.805694e-08	-2.411540e-12
2.454999999999972e+00	3.421230e+00	4.805003e-08	4.805485e-08	-2.410150e-12
2.455999999999972e+00	3.422123e+00	4.804794e-08	4.805277e-08	-2.408759e-12
2.456999999999972e+00	3.423015e+00	4.804586e-08	4.805067e-08	-2.407367e-12
2.457999999999972e+00	3.423908e+00	4.804377e-08	4.804858e-08	-2.405974e-12
2.458999999999972e+00	3.424800e+00	4.804168e-08	4.804649e-08	-2.404580e-12
2.459999999999972e+00	3.425692e+00	4.803960e-08	4.804440e-08	-2.403185e-12
2.460999999999971e+00	3.426584e+00	4.803751e-08	4.804231e-08	-2.401788e-12
2.461999999999971e+00	3.427476e+00	4.803542e-08	4.804022e-08	-2.400391e-12
2.462999999999971e+00	3.428369e+00	4.803333e-08	4.803813e-08	-2.398992e-12
2.463999999999971e+00	3.429261e+00	4.803124e-08	4.803604e-08	-2.397593e-12
2.464999999999971e+00	3.430153e+00	4.802915e-08	4.803394e-08	-2.396192e-12
2.465999999999971e+00	3.431045e+00	4.802706e-08	4.803185e-08	-2.394789e-12
2.466999999999971e+00	3.431937e+00	4.802497e-08	4.802975e-08	-2.393386e-12
2.467999999999971e+00	3.432829e+00	4.802288e-08	4.802766e-08	-2.391981e-12
2.468999999999971e+00	3.433722e+00	4.802078e-08	4.802557e-08	-2.390574e-12
2.469999999999970e+00	3.434613e+00	4.801869e-08	4.802347e-08	-2.389166e-12
2.470999999999970e+00	3.435506e+00	4.801660e-08	4.802138e-08	-2.387757e-12
2.471999999999970e+00	3.436398e+00	4.801451e-08	4.801928e-08	-2.386345e-12
2.472999999999970e+00	3.437289e+00	4.801241e-08	4.801718e-08	-2.384933e-12
2.473999999999970e+00	3.438181e+00	4.801032e-08	4.801509e-08	-2.383518e-12
2.474999999999970e+00	3.439073e+00	4.800822e-08	4.801299e-08	-2.382101e-12
2.475999999999970e+00	3.439965e+00	4.800613e-08	4.801090e-08	-2.380683e-12
2.476999999999970e+00	3.440857e+00	4.800404e-08	4.800880e-08	-2.379263e-12
2.477999999999970e+00	3.441749e+00	4.800194e-08	4.800670e-08	-2.377841e-12
2.478999999999969e+00	3.442641e+00	4.799985e-08	4.800460e-08	-2.376417e-12
2.479999999999969e+00	3.443533e+00	4.799775e-08	4.800250e-08	-2.374990e-12
2.480999999999969e+00	3.444424e+00	4.799566e-08	4.800040e-08	-2.373562e-12
2.481999999999969e+00	3.445316e+00	4.799356e-08	4.799830e-08	-2.372131e-12
2.482999999999969e+00	3.446208e+00	4.799146e-08	4.799620e-08	-2.370697e-12
2.483999999999969e+00	3.447100e+00	4.798936e-08	4.799410e-08	-2.369261e-12
2.484999999999969e+00	3.447991e+00	4.798726e-08	4.799200e-08	-2.367823e-12
2.485999999999969e+00	3.448883e+00	4.798517e-08	4.798990e-08	-2.366382e-12
2.486999999999969e+00	3.449775e+00	4.798307e-08	4.798780e-08	-2.364939e-12
2.487999999999968e+00	3.450666e+00	4.798097e-08	4.798570e-08	-2.363492e-12
2.488999999999968e+00	3.451558e+00	4.797887e-08	4.798359e-08	-2.362043e-12
2.489999999999968e+00	3.452449e+00	4.797677e-08	4.798149e-08	-2.360590e-12
2.490999999999968e+00	3.453341e+00	4.797467e-08	4.797939e-08	-2.359134e-12
2.491999999999968e+00	3.454232e+00	4.797257e-08	4.797728e-08	-2.357675e-12
2.492999999999968e+00	3.455124e+00	4.797047e-08	4.797518e-08	-2.356213e-12
2.493999999999968e+00	3.456015e+00	4.796836e-08	4.797308e-08	-2.354747e-12
2.494999999999968e+00	3.456907e+00	4.796626e-08	4.797097e-08	-2.353278e-12
2.495999999999968e+00	3.457798e+00	4.796416e-08	4.796887e-08	-2.351805e-12
2.496999999999967e+00	3.458689e+00	4.796206e-08	4.796676e-08	-2.350328e-12
2.497999999999967e+00	3.459581e+00	4.795995e-08	4.796465e-08	-2.348847e-12
2.498999999999967e+00	3.460472e+00	4.795785e-08	4.796255e-08	-2.347362e-12
2.499999999999967e+00	3.461364e+00	4.795575e-08	4.796044e-08	-2.345873e-12
2.500999999999967e+00	3.462255e+00	4.795364e-08	4.795833e-08	-2.344379e-12
2.501999999999967e+00	3.463146e+00	4.795154e-08	4.795623e-08	-2.342880e-12
2.502999999999967e+00	3.464037e+00	4.794943e-08	4.795412e-08	-2.341377e-12
2.503999999999967e+00	3.464928e+00	4.794733e-08	4.795201e-08	-2.339869e-12
2.504999999999967e+00	3.465820e+00	4.794522e-08	4.794990e-08	-2.338356e-12
2.505999999999966e+00	3.466711e+00	4.794311e-08	4.794779e-08	-2.336837e-12
2.506999999999966e+00	3.467602e+00	4.794101e-08	4.794568e-08	-2.335313e-12
2.507999999999966e+00	3.468493e+00	4.793890e-08	4.794357e-08	-2.333784e-12
2.508999999999966e+00	3.469384e+00	4.793679e-08	4.794146e-08	-2.332248e-12
2.509999999999966e+00	3.470275e+00	4.793469e-08	4.793935e-08	-2.330707e-12
2.510999999999966e+00	3.471166e+00	4.793258e-08	4.793724e-08	-2.329159e-12
